PNR Number,Train Number,Date of Journey,Class of Travel,Quota,Source Station,Destination Station,Booking Date,Current Status,Number of Passengers,Age of Passengers,Booking Channel,Travel Distance,Number of Stations,Travel Time,Train Type,Seat Availability,Special Considerations,Holiday or Peak Season,Waitlist Position,Confirmation Status
PNR0000000000,51450,01/09/24,3AC,General,NDLS,CSMT,01/01/24,Confirmed,4,Child,Counter,1656,17,37,Shatabdi,159,Senior Citizen,Yes,,Confirmed
PNR0000000001,54807,02/09/24,3AC,Premium Tatkal,MMCT,LTT,02/01/24,Waitlisted,5,Child,Mobile App,1932,18,6,Shatabdi,309,None,Yes,WL097,Not Confirmed
PNR0000000002,14396,03/09/24,3AC,Ladies,GKP,BBS,03/01/24,RAC,5,Child,IRCTC Website,155,4,17,Express,,None,Yes,,Confirmed
PNR0000000003,20295,04/09/24,3AC,Ladies,ASR,KOAA,04/01/24,Waitlisted,1,Adult,,1840,5,16,SQperfast,256,Senior Citizen,No,WL011,Not Confirmed
PNR0000000004,48598,05/09/24,2AC,Tatkal,MAS,SBC,05/01/24,Confirmed,3,Senior Citizen,Mobile App,1766,9,32,Express,58,None,Yes,,Confirmed
PNR0000000005,79825,06/09/24,2AC,Premium Tatkal,KOAA,MMCT,06/01/24,RAC,2,Adult,Mobile App,721,16,30,Express,223,Defense Quota,Yes,,Confirmed
PNR0000000006,95438,07/09/24,Sleeper,General,ASR,PNBE,07/01/24,RAC,4,Child,IRCTC Website,1115,3,35,Superfast,256,Senior Citizen,Yes,,Confirmed
PNR0000000007,55096,08/09/24,1AC,Ladies,SC,JHS,08/01/24,Confirmed,5,Adult,Mobile App,50,3,36,Rajdhani,374,Defense Quota,No,,Confirmed
PNR0000000008,66367,09/09/24,1AC,Tatkal,LTT,GKP,09/01/24,RAC,1,Senior Citizen,Mobile App,129,6,2,Rajdhani,62,None,No,,Confirmed
PNR0000000009,49309,10/09/24,1AC,Premium Tatkal,LKO,MAS,10/01/24,Confirmed,1,Senior Citizen,IRCTC Website,1093,5,7,Superfast,313,None,Yes,,Confirmed
PNR0000000010,84954,11/09/24,1AC,Tatkal,CNB,MAS,11/01/24,Waitlisted,4,Adult,,1830,11,46,Express,116,Defense Quota,Yes,WL065,Not Confirmed
PNR0000000011,21169,12/09/24,3AC,Premium Tatkal,PNBE,GKP,12/01/24,Confirmed,1,Adult,Mobile App,1228,11,10,Shatabdi,133,None,No,,Confirmed
PNR0000000012,67644,13/09/24,2AC,General,CNB,BCT,13/01/24,Confirmed,2,Senior Citizen,Counter,1409,14,30,Express,54,None,Yes,,Confirmed
PNR0000000013,45391,14/09/24,2AC,Tatkal,ADI,HWH,14/01/24,RAC,5,Child,Counter,788,12,20,Express,237,Defense Quota,Yes,,Confirmed
PNR0000000014,10215,15/09/24,2AC,Premium Tatkal,BCT,JP,01-15-2024,Confirmed,5,Child,IRCTC Website,303,13,8,Shatabdi,,Senior Citizen,No,,Confirmed
PNR0000000015,74068,16/09/24,2AC,Tatkal,LTT,JP,16/01/24,RAC,4,Child,Mobile App,1002,4,17,Rajdhani,112,Senior Citizen,No,,Confirmed
PNR0000000016,77457,17/09/24,3AC,Tatkal,BBS,MAS,17/01/24,RAC,2,Child,IRCTC Website,1839,5,6,ShataRdi,133,None,Yes,,Confirmed
PNR0000000017,17913,18/09/24,2AC,Ladies,JHS,JP,18/01/24,Waitlisted,3,Adult,Mobile App,1038,3,47,Shatabdi,162,Defense Quota,No,WL026,Not Confirmed
PNR0000000018,15855,19/09/24,3AC,,JHS,HWH,19/01/24,Waitlisted,3,Child,Mobile App,639,17,24,Rajdhani,,Senior Citizen,No,WL086,Not Confirmed
PNR0000000019,87466,20/09/24,Sleeper,Ladies,BBS,ASR,20/01/24,Waitlisted,5,Child,Counter,376,17,14,Express,33,Defense Quota,Yes,WL127,Not Confirmed
PNR0000000020,25798,21/09/24,3AC,General,SBC,CSMT,21/01/24,RAC,2,Child,Counter,1373,6,2,Superfast,,Senior Citizen,No,,Confirmed
PNR0000000021,97702,22/09/24,Sleeper,,JU,NDLS,22/01/24,Waitlisted,2,Adult,Counter,1115,14,40,Rajdhani,115,None,No,WL086,Not Confirmed
PNR0000000022,53904,23/09/24,Sleeper,General,CSMT,ADI,23/01/24,RAC,5,Child,Mobile App,1838,14,37,Rajdhani,141,Defense Quota,No,,Confirmed
PNR0000000023,82428,24/09/24,1AC,General,LTT,GKP,24/01/24,Waitlisted,3,Adult,,446,5,25,Shatabdi,366,None,No,WL084,Not Confirmed
PNR0000000024,72273,25/09/24,3AC,General,MMCT,HWH,25/01/24,Confirmed,2,Child,Mobile App,1751,14,25,Express,499,Senior Citizen,Yes,,Confirmed
PNR0000000025,89460,26/09/24,1AC,General,UMB,MMCY,26/01/24,Confirmed,2,Senior Citizen,IRCTC Website,572,12,13,Express,406,Defense Quota,Yes,,Confirmed
PNR0000000026,10039,27/09/24,Sleeper,Premium Tatkal,GKP,BSB,27/01/24,Waitlisted,2,Adult,,262,13,22,Superfast,65,Senior Citizen,Yes,WL028,Not Confirmed
PNR0000000027,30995,28/09/24,2AC,Ladies,BCT,ASR,28/01/24,RAC,3,Senior Citizen,IRCTC Website,1572,4,39,Shatabdi,200,None,Yes,,Confirmed
PNR0000000028,79686,29/09/24,2AC,General,GKP,ADI,29/01/24,Waitlisted,2,Senior Citizen,Mobile App,830,7,9,SuperfasS,40,Senior Citizen,Yes,WL055,Not Confirmed
PNR0000000029,21574,30/09/24,1AC,Ladies,ASR,BCT,30/01/24,Confirmed,4,Adult,IRCTC Website,1645,8,41,Superfast,35,Defense Quota,No,,Confirmed
PNR0000000030,89384,01/10/24,1AC,General,JHS,UMB,31/01/24,RAC,1,Senior Citizen,Counter,826,6,12,Express,482,Senior Citizen,No,,Confirmed
PNR0000000031,23575,02/10/24,1AC,Ladies,SC,PNBE,01/02/24,Waitlisted,3,Adult,,1927,7,12,Rajdhani,215,None,Yes,WL129,Not Confirmed
PNR0000000032,25082,03/10/24,2AC,Tatkal,CSMT,NJP,02/02/24,Waitlisted,3,Child,Mobile App,1359,6,33,Superfast,455,None,Yes,WL116,Not Confirmed
PNR0000000033,60126,04/10/24,2AC,General,CNB,MMCT,03/02/24,Waitlisted,3,Child,Counter,1060,10,36,RaAdhani,449,Defense Quota,No,WL183,Not Confirmed
PNR0000000034,20126,05/10/24,1AC,,NJP,ADI,04/02/24,Waitlisted,3,Child,IRCTC Website,1163,4,2,Rajdhani,226,None,Yes,WL116,Not Confirmed
PNR0000000035,74502,06/10/24,,Tatkal,LKO,SBC,05/02/24,Confirmed,2,Senior Citizen,Counter,437,8,7,Rajdhani,175,Defense Quota,No,,Confirmed
PNR0000000036,78016,07/10/24,2AC,Premium Tatkal,PNBE,BBS,06/02/24,RAC,2,Child,Mobile App,321,17,21,Rajdhani,142,Senior Citizen,No,,Confirmed
PNR0000000037,67348,08/10/24,3AC,Tatkal,SC,LTT,07/02/24,RAC,5,Senior Citizen,Mobile App,1648,13,33,Rajdhani,,Defense Quota,No,,Confirmed
PNR0000000038,51917,09/10/24,2AC,Premium Tatkal,NDLS,UMB,08/02/24,Waitlisted,5,Adult,Counter,344,11,46,Superfast,187,Senior Citizen,Yes,WL136,Not Confirmed
PNR0000000039,31119,10/10/24,3AC,General,LKO,LTT,09/02/24,Confirmed,1,Child,Mobile App,1746,10,38,Superfast,,None,No,,Confirmed
PNR0000000040,42450,10/11/24,Sleeper,Ladies,BSB,ADI,10/02/24,Waitlisted,1,Child,,401,5,10,Shatabdi,41,None,No,WL032,Not Confirmed
PNR0000000041,91661,12/10/24,Sleeper,Premium Tatkal,ASR,CSMT,11/02/24,Confirmed,5,Senior Citizen,Counter,1587,14,12,Shatabdi,310,Senior Citizen,Yes,,Confirmed
